Time resolution is 1 ps
[7258000 ns] sample #1310: 10278(0x2826). 
[7283000 ns] sample #1315: -31113(0x8677). 
[7308000 ns] sample #1320: -10278(0xd7da). 
[7333000 ns] sample #1325: 31113(0x7989). 
[7358000 ns] sample #1330: 10278(0x2826). 
[7383000 ns] sample #1335: -31113(0x8677). 
[7408000 ns] sample #1340: -10278(0xd7da). 
[7433000 ns] sample #1345: 31113(0x7989). 
[7458000 ns] sample #1350: 10278(0x2826). 
[7483000 ns] sample #1355: -31113(0x8677). 
[7508000 ns] sample #1360: -10278(0xd7da). 
[7533000 ns] sample #1365: 31113(0x7989). 
[7558000 ns] sample #1370: 10278(0x2826). 
[7583000 ns] sample #1375: -31113(0x8677). 
[7608000 ns] sample #1380: -10278(0xd7da). 
[7633000 ns] sample #1385: 31113(0x7989). 
[7658000 ns] sample #1390: 10278(0x2826). 
[7683000 ns] sample #1395: -31113(0x8677). 
[7708000 ns] sample #1400: -10278(0xd7da). 
[7733000 ns] sample #1405: 31113(0x7989). 
[7758000 ns] sample #1410: 10278(0x2826). 
[7783000 ns] sample #1415: -31113(0x8677). 
[7808000 ns] sample #1420: -10278(0xd7da). 
[7833000 ns] sample #1425: 31113(0x7989). 
[7858000 ns] sample #1430: 10278(0x2826). 
[7883000 ns] sample #1435: -31113(0x8677). 
[7908000 ns] sample #1440: -10278(0xd7da). 
[7933000 ns] sample #1445: 31113(0x7989). 
[7958000 ns] sample #1450: 10278(0x2826). 
[7983000 ns] sample #1455: -31113(0x8677). 
[8008000 ns] sample #1460: -10278(0xd7da). 
[8033000 ns] sample #1465: 31113(0x7989). 
[8058000 ns] sample #1470: 10278(0x2826). 
[8083000 ns] sample #1475: -31113(0x8677). 
[8108000 ns] sample #1480: -10278(0xd7da). 
[8133000 ns] sample #1485: 31113(0x7989). 
[8158000 ns] sample #1490: 10278(0x2826). 
[8183000 ns] sample #1495: -31113(0x8677). 
[8208000 ns] sample #1500: -10278(0xd7da). 
[8233000 ns] sample #1505: 31113(0x7989). 
[8258000 ns] sample #1510: 10278(0x2826). 
[8283000 ns] sample #1515: -31113(0x8677). 
[8308000 ns] sample #1520: -10278(0xd7da). 
[8333000 ns] sample #1525: 31113(0x7989). 
[8358000 ns] sample #1530: 10278(0x2826). 
[8383000 ns] sample #1535: -31113(0x8677). 
[8408000 ns] sample #1540: -10278(0xd7da). 
[8433000 ns] sample #1545: 31113(0x7989). 
[8458000 ns] sample #1550: 10278(0x2826). 
[8483000 ns] sample #1555: -31113(0x8677). 
[8508000 ns] sample #1560: -10278(0xd7da). 
[8533000 ns] sample #1565: 31113(0x7989). 
[8558000 ns] sample #1570: 10278(0x2826). 
[8583000 ns] sample #1575: -31113(0x8677). 
[8608000 ns] sample #1580: -10278(0xd7da). 
[8633000 ns] sample #1585: 31113(0x7989). 
[8658000 ns] sample #1590: 10278(0x2826). 
[8683000 ns] sample #1595: -31113(0x8677). 
[8708000 ns] sample #1600: -10278(0xd7da). 
[8733000 ns] sample #1605: 31113(0x7989). 
[8758000 ns] sample #1610: 10278(0x2826). 
[8783000 ns] sample #1615: -31113(0x8677). 
[8808000 ns] sample #1620: -10278(0xd7da). 
[8833000 ns] sample #1625: 31113(0x7989). 
[8858000 ns] sample #1630: 10278(0x2826). 
